ranking,name,score,score_num,quote,link
162,被解救的姜戈,8.6,336908,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
163,你看起来好像很好吃,8.8,191801,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
164,虎口脱险,8.9,133927,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
165,二十二,8.7,156519,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
166,三块广告牌,8.7,457131,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
167,头脑特工队,8.7,318926,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
168,无敌破坏王,8.7,286923,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
169,雨中曲,9.0,118932,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
170,冰川时代,8.5,358888,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
171,你的名字。,8.4,698362,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
172,我是山姆,8.9,142401,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
173,燃情岁月,8.8,177817,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
174,爆裂鼓手,8.6,308666,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
175,人工智能,8.6,246942,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
176,未麻的部屋,8.9,136809,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
177,穿越时空的少女,8.6,236113,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
178,魂断蓝桥,8.8,158345,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
179,模仿游戏,8.6,336307,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
180,一个叫欧维的男人决定去死,8.8,181222,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
181,猜火车,8.5,297254,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
182,房间,8.8,215530,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
183,忠犬八公物语,9.1,89076,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
184,恐怖游轮,8.4,434016,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
185,魔女宅急便,8.6,262609,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
186,罗生门,8.7,166492,人生的N种可能性。,https://movie.douban.com/subject/1291879/
187,完美陌生人,8.5,315242,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
188,阿飞正传,8.5,279881,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
189,哪吒闹海,8.9,113869,想你时你在闹海。,https://movie.douban.com/subject/1307315/
190,香水,8.5,346981,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
191,黑客帝国3：矩阵革命,8.6,210965,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
192,海街日记,8.7,196724,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
193,浪潮,8.7,166450,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
194,朗读者,8.5,324515,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
195,可可西里,8.7,163526,坚硬的信仰。,https://movie.douban.com/subject/1308857/
196,谍影重重2,8.6,208255,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
197,谍影重重,8.5,248322,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
198,战争之王,8.6,215228,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
199,牯岭街少年杀人事件,8.8,140760,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
200,地球上的星星,8.9,113069,天使保护事件始末。,https://movie.douban.com/subject/2363506/
201,惊魂记,8.9,113047,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
202,青蛇,8.5,289050,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
203,疯狂的石头,8.4,427294,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
204,天书奇谭,9.1,78423,传奇的年代，醉人的童话。,https://movie.douban.com/subject/1428581/
205,一次别离,8.7,162159,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
206,追随,8.9,103422,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
207,终结者2：审判日,8.6,188103,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
208,源代码,8.4,502450,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
209,初恋这件小事,8.3,599115,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
